,sharpness
366,"tf.Tensor(5.794909134442172, shape=(), dtype=float64)"
367,"tf.Tensor(5.977907875151883, shape=(), dtype=float64)"
368,"tf.Tensor(7.592073660261819, shape=(), dtype=float64)"
369,"tf.Tensor(7.87192998317442, shape=(), dtype=float64)"
370,"tf.Tensor(6.344890856914014, shape=(), dtype=float64)"
371,"tf.Tensor(6.492883900537786, shape=(), dtype=float64)"
372,"tf.Tensor(8.42908133195159, shape=(), dtype=float64)"
373,"tf.Tensor(5.35923711218811, shape=(), dtype=float64)"
374,"tf.Tensor(7.82838853694215, shape=(), dtype=float64)"
375,"tf.Tensor(5.244472006401209, shape=(), dtype=float64)"
376,"tf.Tensor(6.9616023236970745, shape=(), dtype=float64)"
377,"tf.Tensor(7.197892729783712, shape=(), dtype=float64)"
378,"tf.Tensor(6.329101500409969, shape=(), dtype=float64)"
379,"tf.Tensor(6.334299016762776, shape=(), dtype=float64)"
380,"tf.Tensor(7.82183686555928, shape=(), dtype=float64)"
381,"tf.Tensor(5.889374818782157, shape=(), dtype=float64)"
382,"tf.Tensor(7.210302902333578, shape=(), dtype=float64)"
383,"tf.Tensor(6.747858853839253, shape=(), dtype=float64)"
384,"tf.Tensor(6.787852574835959, shape=(), dtype=float64)"
385,"tf.Tensor(6.067334364940007, shape=(), dtype=float64)"
386,"tf.Tensor(7.410755857346357, shape=(), dtype=float64)"
387,"tf.Tensor(7.116914774877082, shape=(), dtype=float64)"
388,"tf.Tensor(6.36937086445401, shape=(), dtype=float64)"
389,"tf.Tensor(7.466560059153011, shape=(), dtype=float64)"
390,"tf.Tensor(7.013222023742417, shape=(), dtype=float64)"
391,"tf.Tensor(5.219598918234215, shape=(), dtype=float64)"
392,"tf.Tensor(6.87817694860561, shape=(), dtype=float64)"
393,"tf.Tensor(7.3850407982159645, shape=(), dtype=float64)"
394,"tf.Tensor(6.694266014587434, shape=(), dtype=float64)"
395,"tf.Tensor(6.97551951746534, shape=(), dtype=float64)"
396,"tf.Tensor(7.964764773153093, shape=(), dtype=float64)"
397,"tf.Tensor(8.270616464322313, shape=(), dtype=float64)"
398,"tf.Tensor(6.498721621432547, shape=(), dtype=float64)"
399,"tf.Tensor(7.930654607966683, shape=(), dtype=float64)"
400,"tf.Tensor(7.076932068928187, shape=(), dtype=float64)"
401,"tf.Tensor(7.216739281690106, shape=(), dtype=float64)"
402,"tf.Tensor(7.2262373330226435, shape=(), dtype=float64)"
403,"tf.Tensor(7.3686300848505475, shape=(), dtype=float64)"
404,"tf.Tensor(6.635371122564853, shape=(), dtype=float64)"
405,"tf.Tensor(6.217495085735796, shape=(), dtype=float64)"
406,"tf.Tensor(4.4248365583656355, shape=(), dtype=float64)"
407,"tf.Tensor(6.520733102381812, shape=(), dtype=float64)"
408,"tf.Tensor(6.850957513464548, shape=(), dtype=float64)"
409,"tf.Tensor(6.255375076295179, shape=(), dtype=float64)"
410,"tf.Tensor(6.364834210910425, shape=(), dtype=float64)"
411,"tf.Tensor(6.401054602247997, shape=(), dtype=float64)"
412,"tf.Tensor(7.757419196730754, shape=(), dtype=float64)"
413,"tf.Tensor(6.596569323134045, shape=(), dtype=float64)"
414,"tf.Tensor(7.434012568056687, shape=(), dtype=float64)"
415,"tf.Tensor(6.50399347672873, shape=(), dtype=float64)"
416,"tf.Tensor(4.859608881692895, shape=(), dtype=float64)"
417,"tf.Tensor(5.085313981335115, shape=(), dtype=float64)"
418,"tf.Tensor(8.138501834486064, shape=(), dtype=float64)"
419,"tf.Tensor(7.232036031321715, shape=(), dtype=float64)"
420,"tf.Tensor(5.085313981335115, shape=(), dtype=float64)"
421,"tf.Tensor(7.031402405924608, shape=(), dtype=float64)"
422,"tf.Tensor(4.8004519633303815, shape=(), dtype=float64)"
