,entropy
728,2.620404842860986
729,6.998312957366947
730,7.175753148842564
731,5.362821671686682
732,6.629837538977851
733,6.239257864925811
734,6.945801443942495
735,0.3826208560182447
736,6.810908784336772
737,6.358450822295471
738,6.4547245244840825
739,7.009823043555633
740,4.758716628095291
741,6.369572201675709
742,5.806640309217592
743,4.036030174231579
744,6.605361940960127
745,7.047251459435663
746,6.9461611873447
747,6.342739376078867
748,6.8351013309694135
749,7.066196375543231
750,5.462302987191789
751,5.410130067189824
752,6.049831747246729
753,6.810908784336772
754,6.756193306880789
755,6.838618676109226
756,
757,
758,3.950240258893241
759,4.66493191135357
760,4.638941176571858
761,5.409782523792639
762,7.179799558579386
763,6.965668175919713
764,4.521304350994248
765,5.716427828394067
766,4.370222986786953
767,7.248962488824915
768,5.259858843603642
769,5.9428053918417305
770,6.171094468919324
771,4.906313880877504
772,6.300177347255453
773,7.003622059646786
774,6.079420361482318
775,0.3826208560182447
776,6.854503474988106
777,6.887799818303018
778,3.8626924410586034
779,6.7533528840854045
780,4.2671498046570235
781,4.551703217801602
782,5.63553523354364
783,7.2491378650366345
784,7.103009370296949
785,5.194149478502458
786,5.925193494932775
787,7.2548696894759654
788,7.228662673280005
789,7.02085153307323
790,0.3826208560182447
791,5.825473502444233
792,7.331712758035425
793,6.230333145703472
794,6.0951309147775525
795,5.738476173308247
796,6.592244178870204
797,6.499947618673745
798,6.275612690081859
799,4.784530317296587
800,4.862634807281983
801,5.067496505672916
802,6.411299971103151
803,6.752317327849895
804,7.199089723958957
805,6.592169072682929
806,6.175972712642274
807,7.5547119692096185
808,5.538269890099955
809,7.335024887514836
810,6.181492973825148
811,7.5733099080699375
812,3.443411297224803
813,7.02724997361619
814,0.3826208560182447
815,6.465281764749603
816,7.142465957516101
817,4.551279063130128
818,6.032778972865339
819,5.484809643811764
820,4.518020795824547
821,5.967642106061171
822,6.2346397662807895
823,7.614923029611037
824,6.561773047301606
825,6.68116538337417
826,6.52034442595975
827,6.7532216955987225
828,6.557408724278808
829,6.591799274376073
830,6.49979276537465
831,6.658053420526462
832,6.954115250679474
833,5.49908459074129
834,3.8479412627752443
835,7.067327344168352
836,6.561659540225452
837,6.586631777393468
838,6.421846201454275
839,5.046330047293493
840,7.147797194420336
841,6.56286555199973
842,6.657305987970328
843,7.017545707746397
844,3.2347105122737134
845,5.385794431749171
846,6.311524712155596
847,6.499008239594895
848,
849,5.747668093895352
850,6.839465166040358
851,6.38407746125043
852,6.111518352533846
853,3.6086800925760554
854,4.637334150524416
855,6.460010814350495
856,5.8990261817435234
857,5.582719362360082
858,7.422702377726594
859,4.366300109872902
860,3.089554219412197
861,5.617727554568416
862,5.126516953735723
863,5.3999189034588415
864,4.95482121960902
865,5.126516953735723
866,6.718951688165186
867,0.3826208560182447
868,2.1293133774617936
869,3.4881214034637837
870,6.813983799225926
871,6.708573502460961
872,6.859067982873753
873,7.082397697417673
874,6.924243829653453
875,7.579862716644121
876,7.214273926170737
877,6.1849647104559855
878,6.261433800731441
879,6.572462329591017
880,5.4929655265562305
881,4.435854524957845
882,6.194902809676121
883,6.168603850036389
884,7.638961244724198
885,7.035186001087226
886,5.195221768533298
887,7.049263691878575
888,
889,7.065481710809429
