,framerates
523,29.765013054830288
524,20.0
525,10.0
526,8.012820512820513
527,25.0
528,25.0
529,10.0
530,29.942418426103647
531,9.09090909090909
532,15.011914217633041
533,20.0
534,14.963503649635037
535,25.0
536,6.976744186046512
537,33.333333333333336
538,27.906976744186046
539,30.049261083743843
540,10.0
541,10.0
542,25.0
543,14.985590778097983
544,
545,8.333333333333334
546,12.5
547,14.855570839064649
548,12.23404255319149
549,5.0
550,10.0
551,20.0
552,14.975845410628018
553,14.988290398126464
554,10.0
555,25.0
556,10.0
557,14.652014652014651
558,21.933085501858738
559,12.5
560,25.0
561,
562,14.990859232175504
563,14.963503649635037
564,15.126050420168067
565,25.0
566,14.0
567,14.989733059548255
568,25.0
569,25.0
570,14.01151631477927
571,14.965986394557822
572,14.987714987714988
573,10.0
574,
575,33.333333333333336
576,10.0
577,10.0
578,10.0
579,14.285714285714285
580,50.0
581,24.00793650793651
582,10.0
583,16.666666666666668
584,16.666666666666668
585,25.0
586,11.11111111111111
587,25.0
588,25.0
589,10.0
590,29.940119760479043
591,33.333333333333336
592,30.045871559633028
593,14.285714285714285
594,14.285714285714285
595,7.6923076923076925
596,20.0
597,16.666666666666668
598,14.98422712933754
599,14.285714285714285
600,20.0
601,15.646258503401363
602,5.992509363295881
603,10.0
604,10.0
605,25.0
606,12.5
607,7.6923076923076925
608,33.333333333333336
609,11.864406779661017
610,20.0
611,33.333333333333336
612,20.0
613,25.0
614,14.968152866242038
615,14.973262032085561
616,
617,23.270440251572325
618,20.0
619,10.0
620,16.666666666666668
621,7.142857142857142
622,25.0
623,25.0
624,14.980544747081712
625,14.975845410628018
626,10.0
627,20.0
628,25.0
629,25.0
630,12.5
631,10.0
632,10.0
633,9.09090909090909
634,16.666666666666668
635,10.0
636,30.097087378640776
637,9.09090909090909
638,20.0
639,11.11111111111111
640,10.0
641,10.0
642,33.333333333333336
643,10.0
644,30.015313935681473
645,13.989637305699482
646,11.0
647,12.5
648,25.0
649,25.0
650,25.0
651,13.548387096774194
652,10.0
653,14.285714285714285
654,10.0
655,16.0
656,7.008547008547009
657,12.5
658,14.970059880239521
659,14.285714285714285
660,10.0
661,9.67741935483871
662,16.09947643979058
663,12.5
664,11.11111111111111
665,33.333333333333336
666,23.863636363636363
667,20.0
668,20.0
669,30.09259259259259
670,25.0
671,14.990512333965844
672,14.985590778097983
673,7.941176470588235
674,10.0
675,14.285714285714285
676,16.666666666666668
677,8.333333333333334
678,25.0
679,10.0
680,10.0
681,25.0
682,12.5
683,29.87551867219917
684,13.958810068649887
685,14.991334488734836
686,17.982456140350877
687,
688,15.537848605577688
689,10.0
690,8.584070796460177
691,10.0
692,25.0
693,13.055555555555557
694,20.0
695,25.0
696,30.057803468208093
697,20.0
698,14.285714285714285
699,14.285714285714285
700,25.0
701,7.142857142857142
702,14.986376021798364
703,25.0
704,10.0
705,16.666666666666668
706,11.11111111111111
707,8.21917808219178
708,20.0
709,10.0
710,15.053763440860216
711,15.06276150627615
712,33.333333333333336
713,10.0
714,14.285714285714285
715,14.003759398496241
716,14.285714285714285
717,20.0
718,10.0
719,10.0
720,16.666666666666668
721,25.0
722,25.0
723,16.120218579234972
724,9.655172413793103
725,25.0
726,10.0
727,10.0
728,10.0
729,16.666666666666668
730,20.0
731,6.666666666666667
732,25.0
733,25.0
734,12.5
735,25.0
736,14.285714285714285
737,10.0
738,9.269662921348315
739,25.396825396825395
740,10.0
741,16.666666666666668
742,16.666666666666668
743,6.666666666666667
744,10.0
745,14.982578397212544
746,10.0
747,7.142857142857142
748,15.09433962264151
749,25.0
750,10.0
751,20.0
752,10.0
753,
754,33.333333333333336
755,25.0
756,10.0
757,12.5
758,14.285714285714285
759,20.0
760,8.333333333333334
761,10.0
762,10.0
763,10.0
764,
765,6.25
766,14.285714285714285
767,
768,13.812154696132596
769,25.0
770,20.0
771,20.0
772,20.0
773,16.666666666666668
774,25.0
775,25.0
776,8.333333333333334
777,5.0
778,14.285714285714285
779,25.0
780,20.0
781,
782,
783,25.0
784,15.476190476190476
785,14.953271028037383
786,14.989733059548255
787,7.6923076923076925
788,15.09433962264151
789,25.0
790,10.0
791,14.982578397212544
792,25.0
793,14.993122420907842
794,20.0
795,14.285714285714285
796,20.0
797,14.979757085020243
798,10.0
799,10.0
800,20.0
801,10.0
802,10.0
803,14.285714285714285
804,25.0
805,25.0
806,15.126050420168067
807,24.0
808,15.057915057915057
809,14.977973568281937
810,10.0
811,12.5
812,16.666666666666668
813,14.285714285714285
814,15.032679738562091
815,11.11111111111111
816,14.285714285714285
817,15.06276150627615
818,14.285714285714285
819,11.11111111111111
820,15.044247787610619
821,7.6923076923076925
822,20.0
823,25.0
824,20.0
825,14.285714285714285
826,23.91304347826087
827,15.053763440860216
828,12.5
829,10.0
830,10.0
831,10.0
832,15.050167224080267
833,23.076923076923077
834,15.015015015015015
