,number_of_pixels
1631,1.296
1632,1.2096
1633,0.99
1634,0.218
1635,1.405
1636,0.13041
1637,0.99102
1638,1.68324
1639,0.99552
1640,0.5075
1641,1.55
1642,1.812
1643,2.50328
1644,0.484
1645,1.405
1646,1.86
1647,1.4848
1648,1.928
1649,1.855
1650,0.3363
1651,0.30294
1652,2.016
1653,1.812
1654,0.48548
1655,1.296
1656,1.14019
1657,4.32
1658,1.728
1659,0.7
1660,0.58384
1661,0.768
1662,9.216
1663,2.58996
1664,1.69
1665,1.1
1666,1.28982
1667,0.576
1668,1.875
1669,1.7424
1670,1.296
1671,1.728
1672,0.39674
1673,1.5
1674,1.69275
1675,1.15364
1676,1.405
1677,0.6816
1678,1.024
1679,2.9088
1680,1.325
1681,0.60025
1682,2.916
1683,0.432
1684,1.0458
1685,1.405
1686,1.7184
1687,1.325
1688,0.507
1689,0.756
1690,1.375
1691,0.48705
1692,1.6
1693,0.53133
1694,0.7455
1695,1.452
1696,0.81809
1697,1.075
1698,0.89434
1699,0.79125
1700,0.5896
1701,0.8738
1702,0.588
1703,1.41
1704,1.095
1705,1.368
1706,0.70224
1707,4.096
1708,1.7176
1709,1.2369
1710,0.79794
1711,1.3684
1712,1.155
1713,1.296
1714,1.128
1715,0.574
1716,2.028
1717,2.046
1718,1.7184
1719,0.2068
1720,1.3944
1721,1.134
1722,1.161
1723,0.52268
1724,0.396
1725,1.728
1726,0.50176
1727,0.693
1728,1.728
1729,0.64125
1730,0.7584
1731,0.446
1732,0.528
1733,0.39935
1734,0.8
1735,1.296
1736,1.405
1737,1.1284
1738,1.05196
1739,1.1115
1740,5.184
1741,1.95
1742,1.405
1743,0.96
1744,1.3632
1745,1.2
1746,1.92
1747,6.77544
1748,0.4675
1749,0.3675
1750,1.296
1751,1.05996
1752,1.296
1753,1.369
1754,1.52388
1755,1.52388
1756,1.575
1757,1.296
1758,1.21568
1759,0.55125
1760,0.4675
1761,1.2672
1762,0.688
1763,1.296
1764,0.4
1765,1.86
1766,0.36015
1767,1.296
1768,1.296
1769,0.7252
1770,1.1305
1771,0.768
1772,0.9765
1773,0.5376
1774,1.152
1775,0.507
1776,4.50576
1777,0.3796
1778,1.5847
1779,0.49235
1780,1.52004
1781,1.296
1782,1.5839
1783,1.296
1784,1.296
1785,0.9936
1786,0.40425
1787,1.2864
1788,1.9632
1789,1.2384
1790,0.8428
1791,1.296
1792,2.58996
1793,1.4729
1794,1.14808
1795,0.13041
1796,1.41432
1797,1.728
1798,1.58862
1799,1.296
1800,1.4256
1801,0.49
1802,0.531
1803,0.9
1804,1.39
1805,0.768
1806,1.14948
1807,1.0872
1808,1.06384
1809,0.7308
1810,2.304
1811,1.07
1812,0.548
1813,0.9486
1814,1.5
1815,1.3944
1816,0.5038
1817,1.5
1818,3.072
1819,0.8798
1820,0.432
1821,1.295
1822,1.04
1823,0.67375
1824,1.296
1825,0.655
1826,0.1188
1827,1.296
1828,0.90738
1829,1.296
1830,0.54
1831,1.296
1832,1.248
1833,2.304
1834,2.33128
1835,1.39
1836,0.8
1837,1.728
1838,1.6992
1839,1.296
1840,1.296
1841,1.33464
1842,1.2912
1843,1.41
1844,0.9
1845,1.296
1846,0.4704
1847,4.608
1848,2.5
1849,0.8325
1850,0.68
1851,2.9088
1852,1.296
1853,1.296
1854,2.592
1855,5.184
1856,0.2512
1857,2.304
1858,2.43216
1859,0.4
1860,0.768
1861,0.896
1862,0.343
1863,0.79818
1864,2.028
1865,1.685
1866,1.296
1867,1.405
1868,1.296
1869,0.9
1870,1.75
1871,1.58
1872,0.95976
1873,2.7584
1874,1.0704
1875,1.405
1876,1.6
1877,1.2408
1878,0.2706
1879,2.97024
1880,0.286
1881,0.2728
1882,1.296
1883,0.728
1884,1.1
1885,1.296
1886,0.65207
1887,2.034
1888,2.26772
1889,4.16486
1890,2.028
1891,4.0944
1892,1.296
1893,2.2032
1894,0.6912
1895,2.916
1896,1.19716
1897,1.405
1898,1.812
1899,0.82944
1900,2.289
1901,0.3675
1902,1.39
1903,0.7254
1904,2.2104
1905,0.5194
1906,0.68
1907,0.9
1908,0.896
1909,1.875
1910,1.296
1911,0.15624
1912,1.2096
1913,1.296
1914,0.686
1915,0.768
1916,1.0043
1917,0.9
1918,1.3104
1919,0.6272
1920,1.728
1921,1.296
1922,4.14426
1923,0.30976
1924,0.6272
1925,3.072
1926,0.576
1927,1.07352
1928,1.375
1929,0.6895
1930,2.808
1931,1.9728
1932,0.9
1933,1.7184
1934,1.296
1935,1.82
1936,2.9088
1937,0.522
1938,0.71824
1939,0.081
1940,0.4116
1941,0.768
1942,0.80115
1943,1.4925
1944,1.415
1945,1.728
1946,1.2672
1947,0.4508
1948,0.672
1949,1.38444
1950,1.47168
1951,1.296
1952,1.296
1953,2.304
1954,0.5285
1955,0.531
1956,1.488
1957,1.96608
1958,2.2144
1959,1.944
1960,0.9312
1961,0.9792
1962,2.304
1963,1.15
1964,0.6832
1965,0.576
1966,1.1616
1967,1.296
1968,1.7136
1969,0.80115
1970,2.9088
1971,1.405
1972,1.8426
1973,2.56036
1974,1.355
1975,2.31
1976,1.01376
1977,1.0494
1978,1.914
1979,0.60025
1980,0.507
1981,0.47336
1982,0.8
1983,0.266
