,max_entropy
229,6.92266123547205
230,6.8377097550635275
231,4.340017098240045
232,7.455155909747861
233,6.493252120884676
234,6.934394604007167
235,5.445976345849438
236,5.865305511716213
237,7.028655266677431
238,7.056475603754512
239,6.77739124897855
240,7.658993623518312
241,5.512368873389085
242,7.224131477780317
243,7.678750141411701
244,6.90953491311472
245,5.476232981279183
246,7.614537997557433
247,5.517208796035792
248,7.237019363152392
249,6.812504554278593
250,7.081915246789603
251,9.069045158788839
252,6.025210582083443
253,7.5539361661261895
254,6.415330374471581
255,6.69298449460534
256,7.866925402708306
257,6.592380021908435
258,5.014403081528327
259,7.752063491446772
260,7.699223125656334
261,6.381461089723496
262,7.34650284104026
263,6.452843186677866
264,6.246224887977158
265,7.489340585540597
266,7.380811673110415
267,6.301567587322965
268,7.624132280399675
269,6.405907694727997
270,6.432213858452597
271,3.3466325076244163
272,6.130239705669763
273,5.918644700010227
274,7.125548548791891
275,6.759251820521674
276,6.347516772511266
277,7.51511075039802
278,5.598010256450345
279,4.420607320592642
280,7.373106106065031
281,6.823834783252699
282,7.574110709307067
283,7.415139773443265
284,6.8449595942694055
285,7.558172263752873
286,1.0004742024242441
287,6.160568286090914
288,7.365772350591767
289,6.920714935042005
290,7.515778824713001
291,6.936080171662096
292,3.441592704829853
293,5.6689341927022
294,7.150741091035876
295,3.9672717522531094
296,4.19979494335934
297,4.561161309020066
298,6.982727168577945
299,4.828756750026551
300,6.99769384222726
301,6.079502459987959
302,6.315916379551431
303,7.27171653969738
304,7.255516930175676
305,7.530829757217264
306,6.127667491796939
307,7.164562387314866
308,5.190650035464269
309,5.724273524797149
310,6.078566180908383
311,2.767660574006889
312,7.591638319362951
313,7.079702210619807
314,7.838381772802588
315,7.101044580788534
316,4.0816195182183765
317,6.0756342087124455
318,5.631138261647248
319,6.9723861740348365
320,6.84640623265232
321,7.320452103097461
322,6.99958263138196
323,7.151988536919108
324,6.667227540709811
325,6.093798070701382
326,6.515149169196092
327,6.242248293711121
328,6.3607220993921825
329,7.744956199688776
330,6.619153330784387
331,6.097741112543511
332,5.544553765033588
333,7.144477331242702
334,7.514217875128486
335,6.571221153577454
336,3.4678511236027596
337,7.80151284671185
338,7.608103949734076
339,7.217711402316915
340,5.476086228880387
341,6.831860700291252
342,6.7768199518176715
343,7.279889156233109
344,6.954806155920522
345,7.650578067710049
346,5.551070577763743
347,7.5294665219281995
348,6.590507970499725
349,6.655622266402033
350,7.503890078610963
351,7.282422226108544
352,7.405876132280678
353,4.086481161578181
354,7.184377432893141
355,5.930998135231922
356,7.043474936246964
357,5.49626101544753
358,6.865768435201094
359,7.040931673575051
360,6.595449501684016
361,6.9172029494477645
362,4.880034556217636
363,4.096729727739201
364,7.578291068434167
365,6.760815324452063
366,7.481428962851189
367,3.3699606496578465
368,6.999609532244731
369,6.182148607235559
370,5.338778558318849
371,5.9552066025234796
372,6.64928218600244
373,7.038586467785054
374,4.719365007365243
375,7.290132171866897
376,7.875881911469341
377,6.752098269099951
378,6.312640950318106
379,6.778568061301493
380,6.521438258247284
381,4.229261882758669
382,7.443389292654845
383,4.667516099278892
384,6.239303640107081
385,4.5315335131004115
386,3.547284729003152
387,6.176202220886734
388,7.543167870031982
389,5.856970175101342
390,7.3635199709996755
391,6.001221164605463
392,6.118713590284605
393,7.567304067815653
394,6.058936879954814
395,6.797199010280017
396,6.286432409679538
397,6.469858928808469
398,6.099704383182159
399,7.344199046137843
400,7.448381896135775
401,7.259362510506041
402,7.50301009162511
403,7.701615484267135
404,7.265682536918269
405,5.729172567552955
406,6.664520161662095
407,6.902512088792817
408,7.486130437451094
409,4.932162853270834
410,7.436264680823023
411,6.112674412919059
412,7.469146139399684
413,5.598165124150358
414,6.4382990786865015
415,6.832545520793734
416,7.510815438036125
417,7.295957072269552
418,5.907398687368765
419,4.295899133323817
420,7.295957072269552
421,5.374785092130919
422,7.343139248286843
423,7.442479734950405
424,4.39426411213104
425,6.893299420629043
