,sum_entropy
286,9.25152907987823
287,891.9457931339052
288,320.7325681022307
289,530.3806183299306
290,328.05187680462774
291,734.4781457737447
292,441.8228762664975
293,730.0640073666937
294,523.6020026427734
295,154.30903058561447
296,594.7671090497256
297,94.65853136062904
298,1042.2126554099834
299,108.71636113448969
300,189.04030469942418
301,94.73995621550056
302,230.6729953010652
303,165.5174786911902
304,490.30611478088616
305,674.6660432500917
306,244.39403643423134
307,255.60528058142188
308,45.61952781140367
309,442.20000645678795
310,318.00339003225355
311,306.3485828692985
312,650.7194340057687
313,441.32205963368517
314,1296.9195848325137
315,331.2879365342826
316,141.44673223114512
317,387.15198429090987
318,94.54339295211753
319,597.7855456776728
320,712.6948119028656
321,907.1352923146526
322,671.1273843178861
323,365.53375012439665
324,218.69889202330327
325,481.45917865796736
326,416.07563943189405
327,118.03015960061595
328,302.90526415704755
329,1012.4759618164951
330,181.60855124358125
331,376.9149972965604
332,113.72838164668025
333,437.5048019451936
334,75.01824110671396
335,1188.0038583318171
336,66.62599900784922
337,443.07031876852335
338,210.2317421706737
339,271.0206853685204
340,477.88308442628795
341,944.2539578719129
342,666.8892755858197
343,579.5316835780093
344,1128.5397090133902
345,160.4667574280445
346,137.55962344675405
347,291.7636105003149
348,97.17392826185637
349,255.1152702185339
350,306.4784644379662
351,686.8675310516178
352,138.97097268006826
353,465.0829939621094
354,164.79151000001528
355,290.13891078450854
356,354.007824096293
357,746.0825346464411
358,449.9695479372186
359,1174.4789860546964
360,886.1295881152756
361,1134.3395640607764
362,51.52890152972742
363,488.1789365132273
364,435.03813369210667
365,246.89655535626673
366,754.1937813147456
367,93.95048406042677
368,208.1820048990925
369,218.35955995122177
370,602.2868998683673
371,223.54515224796364
372,261.154412870633
373,576.1392648072897
374,334.57652197357436
375,748.5611124649863
376,1223.6067665321893
377,322.07190771936246
378,237.7368251987769
379,628.3797722101394
380,133.10101776369595
381,840.8777722784632
382,224.50958216845424
383,669.1562346370806
384,116.20168816674474
385,493.78356151037445
386,41.898472386354086
387,244.2606258336471
388,498.54831067880184
389,214.38029912942667
390,683.1682456606591
391,238.59474532611617
392,513.4906836800308
393,246.4220037586701
394,1898.5660767276236
395,304.19379008157426
396,250.00755035973765
397,315.3927662167873
398,175.99596662394717
399,50.946748118145024
400,468.10451510024586
401,238.23934837057652
402,705.3102251239053
403,499.6469399421485
404,185.20515986417496
405,162.16870453711348
406,969.0488536843906
407,117.2754863913226
408,1170.6380746686352
409,346.7835220634682
410,463.0580947712595
411,113.36741058118254
412,243.91201342476745
413,751.8951718242471
414,962.1118256152982
415,616.6735855211061
416,486.04939514335183
417,1066.748935646027
418,134.82579972776045
419,241.51792469762594
420,1066.748935646027
421,408.311625727496
422,844.3088332389968
423,555.7019117686854
424,86.3582669827258
425,224.56907033165947
426,1066.748935646027
427,554.2965998506616
428,460.85685589797674
429,340.0226205614202
430,449.67744853024107
431,249.5408848689844
432,415.6343007932058
433,289.84016549287253
434,669.0961144914739
435,206.1809137874116
436,675.1518655956842
437,84.4190442872548
438,883.7052016402113
439,220.4934363984768
440,175.22211533205916
441,399.5765251479563
442,427.8498540600458
443,51.169129993364635
444,55.804198854437644
445,250.9657922946144
446,108.43538919228354
447,604.2630868466402
448,254.6417488983152
449,230.30696903464144
450,458.5286414051687
451,737.5705288679983
452,279.73138949703815
453,150.83779533212098
454,94.69460606014995
455,111.06611705154226
456,314.78207730796225
457,548.2012048898562
458,1727.9070193089292
459,312.50883041819117
460,127.2914397073329
461,593.4130960142743
462,79.34249781177037
463,749.3588256608925
464,145.38583751651777
465,677.5923945185871
466,308.1051576258293
467,263.70857712387647
468,605.6281063358681
469,821.767231895864
