,width
1532,400
1533,500
1534,600
1535,300
1536,480
1537,448
1538,387
1539,195
1540,498
1541,400
1542,480
1543,530
1544,800
1545,498
1546,245
1547,482
1548,254
1549,480
1550,304
1551,480
1552,356
1553,245
1554,268
1555,236
1556,195
1557,240
1558,480
1559,480
1560,480
1561,400
1562,500
1563,656
1564,244
1565,343
1566,430
1567,360
1568,840
1569,600
1570,270
1571,480
1572,480
1573,250
1574,433
1575,620
1576,480
1577,352
1578,480
1579,400
1580,480
1581,400
1582,249
1583,259
1584,480
1585,480
1586,500
1587,480
1588,576
1589,480
1590,276
1591,161
1592,400
1593,480
1594,480
1595,667
1596,354
1597,499
1598,500
1599,400
1600,300
1601,492
1602,740
1603,245
1604,728
1605,700
1606,220
1607,480
1608,311
1609,498
1610,450
1611,480
1612,300
1613,220
1614,396
1615,480
1616,390
1617,448
1618,500
1619,480
1620,268
1621,320
1622,480
1623,860
1624,384
1625,400
1626,500
1627,500
1628,289
1629,480
1630,480
1631,480
1632,396
1633,200
1634,500
1635,161
1636,498
1637,498
1638,366
1639,250
1640,500
1641,400
1642,664
1643,220
1644,500
1645,500
1646,512
1647,400
1648,500
1649,177
1650,198
1651,600
1652,400
1653,212
1654,480
1655,353
1656,640
1657,480
1658,350
1659,328
1660,320
1661,1280
1662,382
1663,500
1664,400
1665,498
1666,320
1667,500
1668,480
1669,480
1670,480
1671,166
1672,500
1673,555
1674,382
1675,500
1676,320
1677,320
1678,720
1679,500
1680,245
1681,720
1682,240
1683,498
1684,500
1685,480
1686,500
1687,300
1688,360
1689,550
1690,255
1691,400
1692,267
1693,355
1694,440
1695,403
1696,500
1697,461
1698,375
1699,268
1700,340
1701,245
1702,500
1703,500
1704,400
1705,266
1706,640
1707,452
1708,399
1709,341
1710,440
1711,500
1712,480
1713,480
1714,350
1715,600
1716,550
1717,480
1718,220
1719,498
1720,450
1721,450
1722,358
1723,200
1724,480
1725,224
1726,300
1727,480
1728,285
1729,320
1730,200
1731,240
1732,245
1733,400
1734,480
1735,500
1736,310
1737,364
1738,450
1739,960
1740,600
1741,500
1742,480
1743,320
1744,400
1745,480
1746,1036
1747,250
1748,250
1749,480
1750,438
1751,480
1752,370
1753,306
1754,306
1755,450
1756,480
1757,464
1758,245
1759,250
1760,480
1761,320
1762,480
1763,200
1764,500
1765,245
1766,480
1767,480
1768,280
1769,425
1770,320
1771,279
1772,320
1773,450
1774,300
1775,1008
1776,260
1777,530
1778,229
1779,478
1780,480
1781,470
1782,480
1783,480
1784,368
1785,245
1786,480
1787,480
1788,480
