,avg_sharpness
411,6.401054602247997
412,7.757419196730754
413,6.596569323134045
414,7.434012568056687
415,6.50399347672873
416,4.859608881692895
417,5.085313981335115
418,8.138501834486064
419,7.232036031321715
420,5.085313981335115
421,7.031402405924608
422,4.8004519633303815
423,5.51901786316179
424,7.9554838568769695
425,5.830633182214831
426,5.085313981335115
427,8.152832561110223
428,6.396590292250515
429,6.466373465395065
430,6.232948020315345
431,6.453614403800512
432,8.212374604631828
433,5.7926550970816555
434,6.454301662768235
435,6.575459828941584
436,5.812678048978922
437,7.235540667101863
438,5.744508143190522
439,6.0695190238442045
440,5.825538126504532
441,4.758045357582793
442,6.693793422602001
443,5.981526187455111
444,8.245673491924222
445,6.223157706494624
446,6.113666153468422
447,5.330479204989811
448,6.83279656912245
449,5.154269435048158
450,4.666121741794578
451,6.507438325335103
452,6.89591775911644
453,7.4663461904722155
454,7.796775623934982
455,6.305887034637096
456,6.407725842060181
457,6.2904625586981275
458,6.940943279752772
459,5.912075252851005
460,6.2687070139020316
461,5.556204479557154
462,8.407059134968858
463,6.110387548349856
464,7.226338768201397
465,4.7699185816851
466,8.34360881302926
467,5.0145825469615675
468,5.749735444842281
469,5.576993057259837
470,6.856972394288664
471,5.468573276951907
472,5.97835165103775
473,6.746237275963577
474,6.506870649598796
475,5.698677445323469
476,6.285614820498043
477,8.107336445033559
478,7.336758055863062
479,5.152950745297497
480,8.654026398535219
481,4.90030877954792
482,7.399164736104649
483,7.596687782994601
484,6.278735587697753
485,8.806974687906369
486,5.312268711172156
487,7.245784585067865
488,5.720410335075715
489,6.8909568911543495
490,7.674562783289744
491,5.781384933629389
492,7.784385485925995
493,6.99024363266022
494,7.963255433719474
495,8.551407043127693
496,8.116795488575544
497,6.645228631099414
498,6.533212711459962
499,6.603328020525587
500,7.327008086899413
501,6.462259042806023
502,8.22599908669431
503,6.002646580327005
504,6.203228678158999
505,3.5528672042687166
506,7.6468035265279415
507,4.3432931715154295
508,6.902311510129368
509,7.1276827605411475
510,5.338116873670371
511,7.065349392089409
512,5.951535365642074
513,5.817338284428585
514,5.536216608407897
515,6.325673693288804
516,6.588096505099862
517,5.906319482798853
518,6.485372316366508
519,7.321702712384591
520,6.355557317400621
521,6.698457844847849
522,7.055902659364507
523,6.22497830374942
524,4.920984279315308
525,4.771501718953592
526,6.659023263684208
527,7.727203763113708
528,6.045684565173701
529,6.198682167365775
530,6.189883071568055
531,7.513494563580886
532,5.018006089455826
533,6.811322651659257
534,6.285567208078571
535,7.728554379552589
536,6.368974090803062
537,4.973183026231649
538,7.816191094228206
539,7.045267156109598
540,4.773180245167708
541,6.872500239342726
542,5.4188447510745075
543,6.853630188637709
544,6.706587669169474
545,6.474601233476067
546,6.6190788095943445
547,6.856158184244639
548,5.937364603832321
549,7.152837370370701
550,6.519859911600335
551,7.872426730732672
552,6.091166342671746
553,6.440675398590177
554,6.221957877521307
555,7.378726113918143
556,7.679576390149798
557,7.448790516842245
558,7.157206575182056
559,5.697542949958223
560,6.705504203694825
561,7.240439421674321
562,6.347961972188743
563,6.956927039777967
564,7.146903718504095
565,6.004562061305188
566,6.2184842523568
567,5.2888254082195285
568,6.257556366622007
569,5.325000189248763
570,6.120705833854117
571,7.916891132608541
572,6.283076787135694
573,6.810578002568481
574,7.972428800099757
575,8.056059229033997
576,5.578835399523998
577,5.683011785728854
578,6.839290876732838
579,6.160881811079049
580,6.888888869474926
581,5.792389728974694
582,5.870465919504269
583,7.345790504817451
584,4.989993136726497
585,5.327994431657487
586,7.320771634723286
587,6.768384965274733
588,7.065514413707534
589,5.75511119884131
590,8.395938338143967
591,6.653981064282623
592,6.087860344445101
593,5.599902416501028
594,5.165961159679156
595,8.009317093222027
596,6.310978278048836
597,7.068558107255147
598,6.210933541009255
599,7.282147487785894
600,7.507560970859687
601,6.146479780072861
602,7.049538368372926
603,7.0260989109150715
604,6.60351176693824
605,7.361360410600306
606,5.562821486286549
607,6.866247381990396
608,8.45300688722215
609,5.489589700999363
610,5.90539800413671
611,6.733864751048742
612,6.1683028019031445
613,7.458045085072081
614,5.884588251829808
615,6.794247585752379
616,6.560876459290404
617,5.981930279898064
618,6.1201343262470065
619,6.465985630752487
620,7.889919095069185
621,7.484170549404621
622,6.089873126663304
623,4.431067579111671
624,6.323074641087763
625,6.052516256552427
626,7.422214782862924
627,7.6964111697932776
628,7.952414088327818
629,5.711159134746045
630,7.396412022852266
631,6.67431553878614
632,5.624225089400008
633,6.2165047027334905
634,5.784151555774121
635,8.602700734359788
636,5.706418685302098
637,7.2529055052153
638,6.294642421652401
639,7.527919078280821
640,6.585470152262024
641,6.0382966072642725
642,7.535641057619325
643,7.749966879369766
644,4.682403902794761
645,7.094487657500693
646,6.557121750327642
647,6.988657380186655
648,5.6926230810524405
649,6.278263360015486
650,7.1825224289989125
651,7.261846186625949
652,7.660463498541874
653,6.568440522429228
654,7.572155421806864
655,7.276241761960664
656,6.429447815823606
657,7.9658256744930345
658,7.065847742671579
659,7.25040413094356
660,6.0307367310923
661,6.881030432987198
662,6.328521939614666
663,6.5906287806761465
664,8.319718629168504
665,5.897324596668428
666,7.307716265024968
667,7.573279521714904
668,6.58729540743955
669,6.59007104242059
670,6.721485168800641
671,6.4729346280170965
672,7.236526897530626
673,6.98376151726878
674,6.188497631501168
675,6.856763875942978
676,8.6192668817086
677,-1.0
678,6.012181180973762
679,6.425744343609386
680,7.927692677930286
681,7.059934587337588
682,8.33339647767413
683,6.603974460688828
684,6.361912860000884
685,7.488842898310727
686,7.66951444169537
687,6.236455854364863
688,7.042641321205409
689,6.8524790158997035
690,6.212051729776817
691,6.933553326418739
692,5.368218338936891
693,4.782265062319614
694,7.5085772179314345
695,6.40233132168955
696,6.441951065162825
697,7.178003669851225
698,7.381690451051444
699,6.544230739798571
700,6.976846218233707
701,8.306872848815136
702,7.525820050023696
703,8.122231963039166
704,5.1536410344697785
705,5.914202924348339
706,8.930680859442262
707,6.824198441884494
708,7.182938451710814
709,7.403435625585824
710,7.182867288547921
711,5.383619179049493
712,6.525265013724709
713,6.553619878916855
714,6.62956272104449
715,6.902068939501423
716,7.993575225237288
717,6.307040652352018
718,7.969842294416718
719,7.294271918656937
720,7.397844376513821
721,5.900420883774069
722,6.782565024717549
723,4.635393822444379
724,6.930446660611144
725,6.622461745401942
726,7.660853699057876
727,5.655465323819995
728,6.6217224408536595
729,7.378466275406179
730,7.165167159095115
731,8.335369608394839
732,5.361134343931118
733,5.441220954037986
734,5.8123102935270134
735,6.275737933396352
736,7.242249496535667
737,5.5255865704375156
738,6.82248628139555
739,6.8093652635727695
740,7.278278641234627
741,7.099275594882134
742,6.769012733511383
743,7.530300162967996
744,7.611519164623418
745,6.055245933386109
746,9.61384586010316
747,6.458280389877718
748,6.245933879576034
